"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
"1990","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3169,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1991","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3754,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1992","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3439,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1993","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3443,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1994","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3153,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1995","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3480,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1996","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3896,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1997","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3319,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1998","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3377,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"1999","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3317,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2000","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3093,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2001","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3238,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2002","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3055,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2003","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3371,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2004","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3323,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2005","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3484,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2006","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3292,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
"2007","Zürich Fluntern","G4","Heizgradtage am Standort Zürich Fluntern","Heizgradtage",3104,"Anzahl Tage","Stadt Zürich, Gesundheits- und Umweltdepartement"
