"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2013,"Kanton Zürich","M6","Verkehrsmittelwahl (Bi-Modal Split)","ÖV",0.3,"Prozent (%)","Statistisches Amt des Kantons Zürich"
2016,"Kanton Zürich","M6","Verkehrsmittelwahl (Bi-Modal Split)","ÖV",0.3,"Prozent (%)","Statistisches Amt des Kantons Zürich"
2018,"Kanton Zürich","M6","Verkehrsmittelwahl (Bi-Modal Split)","ÖV",0.31,"Prozent (%)","Statistisches Amt des Kantons Zürich"
2013,"Kanton Zürich","M6","Verkehrsmittelwahl (Bi-Modal Split)","MIV",0.7,"Prozent (%)","Statistisches Amt des Kantons Zürich"
2016,"Kanton Zürich","M6","Verkehrsmittelwahl (Bi-Modal Split)","MIV",0.7,"Prozent (%)","Statistisches Amt des Kantons Zürich"
2018,"Kanton Zürich","M6","Verkehrsmittelwahl (Bi-Modal Split)","MIV",0.69,"Prozent (%)","Statistisches Amt des Kantons Zürich"
