"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2000,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.0821224714339138,"Prozent (%)","Umweltgesamtrechnung, BFS"
2001,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.0866536752008698,"Prozent (%)","Umweltgesamtrechnung, BFS"
2002,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.0907585197343148,"Prozent (%)","Umweltgesamtrechnung, BFS"
2003,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.0945209574145983,"Prozent (%)","Umweltgesamtrechnung, BFS"
2004,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.0923304173754143,"Prozent (%)","Umweltgesamtrechnung, BFS"
2005,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.0936093636452886,"Prozent (%)","Umweltgesamtrechnung, BFS"
2006,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.0973610835048359,"Prozent (%)","Umweltgesamtrechnung, BFS"
2007,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.101710712479653,"Prozent (%)","Umweltgesamtrechnung, BFS"
2008,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.105334883463287,"Prozent (%)","Umweltgesamtrechnung, BFS"
2009,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.108060794636963,"Prozent (%)","Umweltgesamtrechnung, BFS"
2010,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.110450730796603,"Prozent (%)","Umweltgesamtrechnung, BFS"
2011,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.11221920002827,"Prozent (%)","Umweltgesamtrechnung, BFS"
2012,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.116141421112229,"Prozent (%)","Umweltgesamtrechnung, BFS"
2013,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.115029781100533,"Prozent (%)","Umweltgesamtrechnung, BFS"
2014,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.114316520850559,"Prozent (%)","Umweltgesamtrechnung, BFS"
2015,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.122556186223913,"Prozent (%)","Umweltgesamtrechnung, BFS"
2016,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.122509124615303,"Prozent (%)","Umweltgesamtrechnung, BFS"
2017,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.129270514311031,"Prozent (%)","Umweltgesamtrechnung, BFS"
2018,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.13421613234687,"Prozent (%)","Umweltgesamtrechnung, BFS"
2019,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.135932469612369,"Prozent (%)","Umweltgesamtrechnung, BFS"
2020,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.138095506954488,"Prozent (%)","Umweltgesamtrechnung, BFS"
2021,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.138391610848622,"Prozent (%)","Umweltgesamtrechnung, BFS"
2022,"Schweiz","KG3","Anteil der Abfallrückgewinnung am gesamten Materialverbrauch","Kreislauf-Materialnutzungsquote",0.134524014936156,"Prozent (%)","Umweltgesamtrechnung, BFS"
