"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2010,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1920700,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2010,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.39883822214195,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2045500,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.46905047127398,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2182800,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.54965124327778,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2013,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2343100,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2013,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.64366014795817,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2014,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2414700,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2014,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.66950829464986,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2015,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2609600,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2015,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.77956716474908,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2016,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2720700,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2016,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.82846551238635,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2017,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2804200,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2017,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.86406584655392,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2018,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2902004,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2018,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",1.90799806439057,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2019,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",3103702,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2019,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2.01634016014033,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2020,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",3294217,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2020,"Kanton Zürich","EV1","Wärmeproduktion aus erneuerbaren Energieträgern","Wärme aus erneuerbaren Energieträgern",2.12061814457492,"Megawattstunden pro Person (MWh/Person)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
