"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
1990,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1991,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1992,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1993,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1994,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1995,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1996,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1997,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1998,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
1999,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2000,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2001,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2002,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.48,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2003,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2004,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.49,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2005,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2006,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2007,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.5,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2008,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.51,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
2009,"Kanton Zürich","A2","Fossilfreier Anteil verbrannter Abfall","Fossilfreier Anteil verbrannter Abfall",0.51,"Prozent (%)","Bundesamt für Umwelt (BAFU)"
