"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2020,"Kanton","KV6","Anzahl Dieselbusse im Zürcher Verkehrsverbund (ZVV)","Anzahl Dieselbusse ZVV",714,"Anzahl Dieselbusse","Zürcher Verkehrsverbund (ZVV)"
2021,"Kanton","KV6","Anzahl Dieselbusse im Zürcher Verkehrsverbund (ZVV)","Anzahl Dieselbusse ZVV",694,"Anzahl Dieselbusse","Zürcher Verkehrsverbund (ZVV)"
2022,"Kanton","KV6","Anzahl Dieselbusse im Zürcher Verkehrsverbund (ZVV)","Anzahl Dieselbusse ZVV",686,"Anzahl Dieselbusse","Zürcher Verkehrsverbund (ZVV)"
2023,"Kanton","KV6","Anzahl Dieselbusse im Zürcher Verkehrsverbund (ZVV)","Anzahl Dieselbusse ZVV",664,"Anzahl Dieselbusse","Zürcher Verkehrsverbund (ZVV)"
2024,"Kanton","KV6","Anzahl Dieselbusse im Zürcher Verkehrsverbund (ZVV)","Anzahl Dieselbusse ZVV",668,"Anzahl Dieselbusse","Zürcher Verkehrsverbund (ZVV)"
