"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2022,"Kanton Zürich","IG1","Installierte Feuerungsleistung bei Grossfeuerungsanlagen","Erdgas",461598,"Kilowatt (kW)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2022,"Kanton Zürich","IG1","Installierte Feuerungsleistung bei Grossfeuerungsanlagen","Heizöl",542817,"Kilowatt (kW)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2023,"Kanton Zürich","IG1","Installierte Feuerungsleistung bei Grossfeuerungsanlagen","Erdgas",477547,"Kilowatt (kW)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2023,"Kanton Zürich","IG1","Installierte Feuerungsleistung bei Grossfeuerungsanlagen","Heizöl",541384,"Kilowatt (kW)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
