"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2007,"Schweiz","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",34.32,"kg","Haushaltsbudgeterhebung HABE (BFS)"
2007,"Kanton Zürich","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",29.66,"kg","Haushaltsbudgeterhebung HABE (BFS)"
2010,"Schweiz","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",35.1,"kg","Haushaltsbudgeterhebung HABE (BFS)"
2010,"Kanton Zürich","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",30.8,"kg","Haushaltsbudgeterhebung HABE (BFS)"
2013,"Schweiz","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",34.46,"kg","Haushaltsbudgeterhebung HABE (BFS)"
2013,"Kanton Zürich","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",30.1,"kg","Haushaltsbudgeterhebung HABE (BFS)"
2016,"Schweiz","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",32.57,"kg","Haushaltsbudgeterhebung HABE (BFS)"
2016,"Kanton Zürich","KG1","Verbrauchsmengen nach Grossregion - Fleisch","Pro-Kopf-Konsum von Fleisch",28.48,"kg","Haushaltsbudgeterhebung HABE (BFS)"
