"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2010,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Erneuerbar",1917600,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2010,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Nicht-erneuerbar",15203400,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2010,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Erneuerbar",0.112002803574558,"Prozent (%)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2010,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Nicht-erneuerbar",0.887997196425442,"Prozent (%)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Erneuerbar",2054200,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Nicht-erneuerbar",12691800,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Erneuerbar",0.139305574393056,"Prozent (%)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2011,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Nicht-erneuerbar",0.860694425606944,"Prozent (%)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Erneuerbar",2187300,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Nicht-erneuerbar",13595700,"Megawattstunden (MWh)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Erneuerbar",0.138585820186276,"Prozent (%)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
2012,"Kanton Zürich","G2","Wärmegesamtverbrauch nach Energieträger","Nicht-erneuerbar",0.861414179813724,"Prozent (%)","Amt für Abfall, Wasser, Energie und Luft des Kantons Zürich"
